"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975",icon
1994-01-01,106,"AMKennedy",0.849,0.211,0.847,0.442,1.265,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1995-01-01,106,"AMKennedy",0.739,0.21,0.735,0.333,1.158,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1996-01-01,106,"AMKennedy",0.831,0.212,0.826,0.421,1.248,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1997-01-01,106,"AMKennedy",0.826,0.224,0.821,0.394,1.273,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1998-01-01,106,"AMKennedy",0.953,0.222,0.948,0.534,1.4,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1999-01-01,106,"AMKennedy",1.09,0.226,1.085,0.664,1.546,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
2000-01-01,106,"AMKennedy",0.964,0.222,0.957,0.543,1.42,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
2001-01-01,106,"AMKennedy",1.058,0.228,1.054,0.619,1.514,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
2002-01-01,106,"AMKennedy",0.899,0.237,0.895,0.438,1.382,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
2003-01-01,106,"AMKennedy",0.768,0.225,0.766,0.34,1.213,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
2004-01-01,106,"AMKennedy",0.544,0.225,0.54,0.107,0.995,"220px-Anthony_Kennedy_official_SCOTUS_portrait.jpg"
1994-01-01,105,"AScalia",2.892,0.385,2.879,2.171,3.684,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1995-01-01,105,"AScalia",3.18,0.397,3.168,2.434,3.973,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1996-01-01,105,"AScalia",3.403,0.403,3.394,2.63,4.216,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1997-01-01,105,"AScalia",3.481,0.416,3.475,2.699,4.323,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1998-01-01,105,"AScalia",3.468,0.43,3.466,2.65,4.325,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1999-01-01,105,"AScalia",3.545,0.428,3.537,2.724,4.41,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
2000-01-01,105,"AScalia",3.544,0.424,3.537,2.744,4.403,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
2001-01-01,105,"AScalia",3.389,0.423,3.375,2.591,4.242,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
2002-01-01,105,"AScalia",3.088,0.423,3.077,2.299,3.946,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
2003-01-01,105,"AScalia",2.916,0.412,2.906,2.14,3.754,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
2004-01-01,105,"AScalia",2.721,0.403,2.711,1.96,3.528,"Antonin_Scalia_Official_SCOTUS_Portrait.jpg"
1994-01-01,108,"CThomas",3.643,0.44,3.628,2.815,4.541,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1995-01-01,108,"CThomas",3.735,0.454,3.721,2.877,4.67,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1996-01-01,108,"CThomas",3.805,0.46,3.793,2.931,4.735,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1997-01-01,108,"CThomas",3.799,0.471,3.785,2.914,4.756,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1998-01-01,108,"CThomas",3.825,0.482,3.813,2.917,4.822,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1999-01-01,108,"CThomas",3.769,0.492,3.752,2.852,4.773,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
2000-01-01,108,"CThomas",3.803,0.491,3.783,2.896,4.813,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
2001-01-01,108,"CThomas",3.762,0.508,3.745,2.817,4.817,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
2002-01-01,108,"CThomas",3.9,0.498,3.887,2.944,4.903,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
2003-01-01,108,"CThomas",3.915,0.5,3.908,2.971,4.913,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
2004-01-01,108,"CThomas",3.948,0.496,3.932,3.025,4.962,"220px-Clarence_Thomas_official_SCOTUS_portrait.jpg"
1994-01-01,107,"DHSouter",-0.337,0.196,-0.334,-0.729,0.037,"DavidSouter.jpg"
1995-01-01,107,"DHSouter",-0.379,0.198,-0.377,-0.771,0.004,"DavidSouter.jpg"
1996-01-01,107,"DHSouter",-0.321,0.197,-0.317,-0.717,0.058,"DavidSouter.jpg"
1997-01-01,107,"DHSouter",-0.421,0.211,-0.415,-0.853,-0.019,"DavidSouter.jpg"
1998-01-01,107,"DHSouter",-0.486,0.205,-0.482,-0.9,-0.092,"DavidSouter.jpg"
1999-01-01,107,"DHSouter",-0.938,0.222,-0.936,-1.38,-0.505,"DavidSouter.jpg"
2000-01-01,107,"DHSouter",-1.208,0.243,-1.204,-1.704,-0.744,"DavidSouter.jpg"
2001-01-01,107,"DHSouter",-1.403,0.266,-1.396,-1.954,-0.908,"DavidSouter.jpg"
